X_Value,PT1-P0,PT2-P0,PT-P1,PT-P2,PT-W1,PT-W2,PT-PC,PT-F,TCp-P0,TCp-P1,TCp-P2,TCp-W1,TCp-W2,TCp-PC,LC4-W3,LC1-W3,LC2-W3,LC3-W3,Comment
0.01488,305.570282,270.15062,54.313805,0.383476,1.471039,0,83.342929,82.70832,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.729412,23.243266,15.328505,14.648981,
0.0155,306.228294,268.670688,54.871772,0,2.160292,0,83.290344,82.590241,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.708584,23.254126,15.342433,14.66248,
0.01612,304.747767,272.123864,54.280983,0.219957,2.225935,0,83.290344,82.564001,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.695666,23.250029,15.299545,14.624742,
0.01674,301.457709,271.959427,54.740486,0,1.306931,0,83.30349,82.6296,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.701073,23.252697,15.335419,14.625727,
0.01736,300.799697,271.301679,55.134345,0.219957,0.584857,0,83.211467,82.524642,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,17.692562,23.255554,15.318184,14.62011,
0.01798,303.925253,268.999562,54.477913,0,0.420749,0,83.264052,82.550881,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,17.697368,23.261556,15.332012,14.635285,
0.0248,305.899288,272.288301,54.674842,0.318069,0,0,82.961691,82.340963,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,17.697669,23.222023,15.310869,14.640409,
0.02542,303.431744,271.630553,54.543556,0.121845,0,0,83.145736,82.432803,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,17.718597,23.252125,15.321791,14.651839,
0.02604,303.925253,268.01294,54.773307,0.089142,0,0,83.080006,82.419683,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,17.694865,23.247457,15.295637,14.637453,
0.02666,300.635194,271.466116,54.412269,0.154549,0,0,83.027421,82.340963,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,17.723403,23.240313,15.296138,14.635285,
0.02728,300.799697,270.15062,54.576377,0,0,0,83.093152,82.459042,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,17.705079,23.273082,15.336521,14.649375,
0.0279,305.899288,271.466116,54.937415,0.318069,0,0,83.080006,82.432803,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,17.682749,23.270986,15.342634,14.641887,
0.02852,306.392797,266.861881,54.412269,0.089142,0,0,82.974837,82.406563,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,-101369.8288,17.736521,23.248029,15.319085,14.648685,
