X_Value,PT1-P0,PT2-P0,PT-P1,PT-P2,PT-W1,PT-W2,PT-PC,PT-F,TCp-P0,TCp-P1,TCp-P2,TCp-W1,TCp-W2,TCp-PC,LC4-W3,LC1-W3,LC2-W3,LC3-W3,Comment
0.02666,632.437934,601.820323,174.342693,0.252661,0.092533,0,85.406873,84.755019,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.025171,31.646604,26.540242,22.842127,
0.02728,630.792901,603.300259,173.620614,0,0,0,85.262265,84.755019,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.019564,31.653558,26.57331,22.857794,
0.0279,635.234489,602.149197,173.35804,0.41618,0.880251,0,85.354288,84.741899,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.007147,31.648223,26.551765,22.844788,
0.02852,636.057006,601.162573,174.211406,0.350772,1.832076,0,85.485749,84.964937,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.033082,31.677468,26.557377,22.869421,
0.02914,636.879522,599.024888,173.423684,0.154549,1.70079,0,85.301703,84.873098,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.011253,31.661369,26.555172,22.860159,
0.02976,632.931444,602.313635,173.554971,0.514292,3.834192,0,85.406873,84.886218,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.011453,31.63041,26.530722,22.848236,
0.03038,632.108927,605.109069,173.981654,0.187253,3.9983,0,85.406873,84.938697,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.018162,31.649938,26.552767,22.84666,
0.0372,635.398993,600.504824,173.751901,0.187253,0,0,85.301703,84.466382,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.032281,31.650033,26.570404,22.861243,
0.03782,637.537535,601.162573,173.948832,0.285365,0,0,85.38058,84.545101,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.035085,31.632315,26.587839,22.875629,
0.03844,635.892503,603.958008,173.784723,0.056438,0,0,85.288557,84.361423,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.014657,31.645175,26.556675,22.837397,
0.03906,630.957404,600.669261,174.112941,0,0,0,85.341142,84.440142,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.009951,31.657273,26.564792,22.860159,
0.03968,633.424953,601.162573,173.817545,0.677811,0,0,85.433165,84.715659,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.044898,31.652129,26.561986,22.847547,
0.0403,633.095947,601.491448,173.522149,0,0,0,85.157096,84.571341,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.057615,31.682802,26.554772,22.865381,
