X_Value,PT1-P0,PT2-P0,PT-P1,PT-P2,PT-W1,PT-W2,PT-PC,PT-F,TCp-P0,TCp-P1,TCp-P2,TCp-W1,TCp-W2,TCp-PC,LC4-W3,LC1-W3,LC2-W3,LC3-W3,Comment
0.05022,463.493167,430.312302,156.618953,0,0,0,87.313063,86.552441,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.83996,24.889621,19.359952,17.461748,
0.05084,462.177143,435.080979,156.914348,0,0,0,87.352502,86.578681,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.805914,24.896099,19.376887,17.420856,
0.05146,464.480186,432.449985,156.093805,0.056438,0.847429,0,87.523402,86.618041,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.80992,24.923248,19.330993,17.453766,
0.05208,466.947732,430.641177,156.914348,0.645107,0,0,87.497109,86.539321,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.82524,24.886097,19.360453,17.435143,
0.0527,468.263757,434.094356,156.94717,0,0,0,87.326209,86.473722,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.825841,24.884858,19.359451,17.419575,
0.05332,463.493167,433.107733,156.257913,0.154549,0,0,87.339356,86.473722,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.83235,24.894956,19.365464,17.443617,
0.05394,461.190124,433.107733,156.815883,0.187253,0,0,87.365648,86.499962,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.818932,24.89629,19.352637,17.432089,
0.05456,462.01264,434.587668,156.651774,0.481588,0,0,87.286771,86.539321,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.807416,24.893527,19.364963,17.461058,
0.05518,468.921769,432.121111,156.356379,0.187253,0,0,87.339356,86.70988,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.828945,24.894575,19.361856,17.442336,
0.062,465.796211,434.094356,156.356379,0,4.228051,0,87.405086,86.867318,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.80271,24.871999,19.351335,17.449135,
0.06262,464.15118,427.681308,156.979992,0.121845,3.046475,0,87.365648,86.801719,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.822437,24.871713,19.369071,17.461058,
0.06324,461.025621,432.778859,156.848705,0.121845,2.980831,0,87.39194,86.749239,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.806615,24.880572,19.34402,17.46766,
0.06386,462.341646,435.903165,156.323557,0.121845,2.422865,0,87.286771,86.631161,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.831849,24.888574,19.379091,17.464211,
0.06448,466.28972,429.818991,157.078457,0.056438,2.816724,0,87.431379,86.618041,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.801909,24.873808,19.363359,17.484805,
0.0651,467.441241,431.956674,156.783061,0.285365,1.996184,0,87.313063,86.578681,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.831348,24.858091,19.360554,17.465492,
0.06572,465.960714,436.232039,156.586131,0.121845,0.716143,0,87.168456,86.355643,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.81793,24.886668,19.376787,17.470025,
0.06634,463.493167,432.449985,156.815883,0.481588,0.945894,0,87.444525,86.565561,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.808618,24.882096,19.368069,17.460861,
0.06696,462.999658,430.970051,156.454844,0,0,0,87.326209,86.618041,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.790994,24.894003,19.359351,17.432286,
0.06758,468.099254,432.778859,156.422022,0.252661,0,0,87.273625,86.591801,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.808918,24.862568,19.341314,17.456525,
0.0744,468.592763,433.107733,156.290735,0.350772,0,0,87.326209,86.73612,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.829646,24.885906,19.371576,17.485297,
