X_Value,PT1-P0,PT2-P0,PT-P1,PT-P2,PT-W1,PT-W2,PT-PC,PT-F,TCp-P0,TCp-P1,TCp-P2,TCp-W1,TCp-W2,TCp-PC,LC4-W3,LC1-W3,LC2-W3,LC3-W3,Comment
0.03844,457.406553,426.530248,72.693915,0.187253,0,0,88.009809,87.169075,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.516525,23.400919,17.462871,16.505963,
0.03906,458.887081,423.077069,72.431342,0,0.256641,0,87.852055,87.155956,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.536753,23.398538,17.484415,16.543406,
0.03968,460.203106,427.516871,72.628272,0.448884,0,0,88.088686,87.208435,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.545264,23.436451,17.491229,16.526064,
0.0403,460.861118,425.379189,72.661093,0.089142,0,0,87.865201,86.972277,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.517427,23.401872,17.453953,16.521039,
0.04092,456.913044,425.214751,72.332877,0.383476,0,0,87.944078,87.090356,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.534349,23.396251,17.464374,16.53306,
0.04154,457.900062,427.516871,72.923666,0.41618,0,0,87.970371,87.103476,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.528341,23.423495,17.470787,16.533651,
0.04216,458.064566,427.845745,72.628272,0,0,0,88.022955,87.142836,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.518027,23.435498,17.484515,16.506455,
0.04278,460.532112,425.708063,72.529807,0.219957,0,0,87.983517,87.169075,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.541559,23.404444,17.483213,16.528035,
0.0496,461.51913,424.885877,72.39852,0,3.670084,0,87.825763,87.418353,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.559083,23.434355,17.465777,16.54715,
0.05022,455.761522,427.02356,72.628272,0.252661,3.309047,0,87.917786,87.457713,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.577708,23.435403,17.479505,16.550697,
0.05084,456.584038,428.339057,72.464164,0,3.899835,0,88.036101,87.431473,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.546566,23.438546,17.489225,16.524881,
0.05146,457.406553,425.708063,72.168769,0.514292,2.980831,0,87.957224,87.287154,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.54997,23.430354,17.493434,16.546658,
0.05208,459.051584,424.063692,72.956488,0,2.816724,0,87.944078,87.247795,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.516125,23.446357,17.482511,16.529315,
0.0527,462.177143,428.17462,72.431342,0.383476,2.3244,0,88.022955,87.300274,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.536152,23.455883,17.461368,16.527148,
0.05332,460.038603,426.859123,72.628272,0,1.208467,0,87.970371,87.300274,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.543762,23.422924,17.461268,16.517393,
0.05394,456.584038,426.365811,72.693915,0.41618,0.584857,0,87.957224,87.221555,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.518829,23.450644,17.490127,16.530399,
0.05456,458.558075,427.352434,72.103126,0,0,0,88.062394,87.260914,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.554677,23.445024,17.499947,16.541928,
0.05518,459.874099,427.352434,72.529807,0.121845,0.223819,0,87.944078,87.234675,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.534349,23.449501,17.476599,16.521236,
0.062,462.01264,427.516871,72.464164,0.514292,0,0,87.930932,87.365873,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.562587,23.445214,17.489025,16.538381,
0.06262,460.861118,427.516871,72.825202,0.023734,0,0,87.865201,87.313394,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.576005,23.447405,17.484816,16.531089,
0.06324,457.406553,427.187997,72.496985,0.121845,0,0,88.049247,87.352754,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.581813,23.457312,17.51137,16.539267,
