X_Value,PT1-P0,PT2-P0,PT-P1,PT-P2,PT-W1,PT-W2,PT-PC,PT-F,TCp-P0,TCp-P1,TCp-P2,TCp-W1,TCp-W2,TCp-PC,LC4-W3,LC1-W3,LC2-W3,LC3-W3,Comment
0.01612,450.990933,422.254883,121.269973,0.514292,1.89772,0,82.31753,81.750569,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.493156,28.762839,23.082768,21.141421,
0.01674,455.597019,418.801704,121.171507,0.285365,1.569504,0,82.172922,81.65873,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.514986,28.766649,23.081165,21.128316,
0.01736,453.787486,419.130578,120.712004,0.710515,2.3244,0,82.370114,81.68497,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.483043,28.751693,23.078059,21.153048,
0.01798,450.497424,423.734817,120.974577,0.219957,1.503861,0,82.238653,81.632491,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.506975,28.765696,23.053609,21.149008,
0.0248,450.990933,421.761572,120.679182,0.318069,0,0,82.55416,81.645611,-101718.3201,-101718.3201,-101718.3201,-101718.3201,-101718.3201,-101718.3201,23.502769,28.775222,23.078059,21.136691,
0.02542,451.813449,419.623889,121.073042,0,0,0,82.48843,81.69809,-101718.3201,-101718.3201,-101718.3201,-101718.3201,-101718.3201,-101718.3201,23.50307,28.773698,23.067036,21.130681,
0.02604,454.445498,419.459452,120.777647,0.089142,0,0,82.356968,81.69809,-101718.3201,-101718.3201,-101718.3201,-101718.3201,-101718.3201,-101718.3201,23.50327,28.768554,23.044691,21.13679,
0.02666,453.129473,420.610512,120.941756,0.023734,0,0,82.462137,81.72433,-101718.3201,-101718.3201,-101718.3201,-101718.3201,-101718.3201,-101718.3201,23.485947,28.775603,23.065734,21.151866,
0.02728,451.155436,421.597135,120.941756,0.514292,0,0,82.396407,81.67185,-101718.3201,-101718.3201,-101718.3201,-101718.3201,-101718.3201,-101718.3201,23.515987,28.792178,23.065433,21.107328,
0.0279,450.661927,418.308393,120.515074,0.056438,0,0,82.330676,81.65873,-101718.3201,-101718.3201,-101718.3201,-101718.3201,-101718.3201,-101718.3201,23.491454,28.764267,23.05912,21.133243,
